#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/data/test.data.results/SAMEA3181514.dragonflye.miniasm/contigs.fa.split/SAMEA3181514.dragonflye.miniasmcontig00006.fa	contig00006	175243	176112	+	SHV-134	1-861/861	========/======	6/13	99.77	98.39	card	HM559945:0-861	SHV-134 is an extended-spectrum beta-lactamase.	carbapenem;cephalosporin;penam
/data/test.data.results/SAMEA3181514.dragonflye.miniasm/contigs.fa.split/SAMEA3181514.dragonflye.miniasmcontig00007.fa	contig00007	201978	203163	+	mdtH	1-1175/1209	========/======	12/21	96.77	75.06	card	U00096:1125326-1124117	Multidrug resistance protein MdtH	fluoroquinolone
/data/test.data.results/SAMEA3181514.dragonflye.miniasm/contigs.fa.split/SAMEA3181514.dragonflye.miniasmcontig00007.fa	contig00007	209817	210972	+	mdtG	25-1181/1227	========/======	22/35	92.83	73.42	card	CP000800.1:1192954-1191727	The MdtG protein also named YceE appears to be a member of the major facilitator superfamily of transporters and it has been reported when overexpressed to increase fosfomycin and deoxycholate resistances. mdtG is a member of the marA-soxS-rob regulon.	fosfomycin
/data/test.data.results/SAMEA3181514.dragonflye.miniasm/contigs.fa.split/SAMEA3181514.dragonflye.miniasmcontig00008.fa	contig00008	49136	49846	+	sdiA	5-723/723	========/======	7/14	97.93	67.17	card	AE006468.2:2040377-2039654	SdiA is a cell division regulator that is also a positive regulator of AcrAB only when it's expressed from a plasmid. When the sdiA gene is on the chromosome it has no effect on expression of acrAB	cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan
/data/test.data.results/SAMEA3181514.dragonflye.miniasm/contigs.fa.split/SAMEA3181514.dragonflye.miniasmcontig00013.fa	contig00013	61887	62621	-	baeR	7-714/723	========/======	11/37	97.23	76.08	card	AP009048.1:2166412-2167135	BaeR is a response regulator that promotes the expression of MdtABC and AcrD efflux complexes.	aminocoumarin;aminoglycoside
/data/test.data.results/SAMEA3181514.dragonflye.miniasm/contigs.fa.split/SAMEA3181514.dragonflye.miniasmcontig00013.fa	contig00013	62624	63746	-	baeS	280-1403/1404	..======/======	18/29	78.99	73.55	card	AP009048:2165012-2166416	BaeS is a sensor kinase in the BaeSR regulatory system. While it phosphorylates BaeR to increase its activity BaeS is not necessary for overexpressed BaeR to confer resistance.	aminocoumarin;aminoglycoside
/data/test.data.results/SAMEA3181514.dragonflye.miniasm/contigs.fa.split/SAMEA3181514.dragonflye.miniasmcontig00013.fa	contig00013	65567	68684	-	mdtC	2-3078/3078	========/======	45/83	99.29	79.26	card	U00096:2158385-2161463	MdtC is a transporter that forms a heteromultimer complex with MdtB to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex. In the absence of MdtB MdtC can form a homomultimer complex that results in a functioning efflux complex with a narrower drug specificity. mdtC corresponds to 3 loci in Pseudomonas aeruginosa PAO1 (gene name: muxC/muxB) and 3 loci in Pseudomonas aeruginosa LESB58.	aminocoumarin
/data/test.data.results/SAMEA3181514.dragonflye.miniasm/contigs.fa.split/SAMEA3181514.dragonflye.miniasmcontig00013.fa	contig00013	68686	71822	-	mdtB	1-3123/3123	========/======	27/38	99.62	80.12	card	U00096:2155262-2158385	MdtB is a transporter that forms a heteromultimer complex with MdtC to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex.	aminocoumarin
/data/test.data.results/SAMEA3181514.dragonflye.miniasm/contigs.fa.split/SAMEA3181514.dragonflye.miniasmcontig00013.fa	contig00013	71822	72908	-	mdtA	168-1248/1248	.=======/======	15/28	85.74	76.78	card	U00096:2154015-2155263	MdtA is the membrane fusion protein of the multidrug efflux complex mdtABC.	aminocoumarin
/data/test.data.results/SAMEA3181514.dragonflye.miniasm/contigs.fa.split/SAMEA3181514.dragonflye.miniasmcontig00015.fa	contig00015	11258	12364	+	Klebsiella_pneumoniae_OmpK37	1-1122/1125	========/======	26/83	95.38	69.81	card	AJ011502.1:300-1425	Klebsiella pneumoniae outer membrane porin protein. Is preferentially detected in porin-deficient strains. Functional characterization of this new porin revealed a narrower pore than those of porins OmpK35 and OmpK36 which did not allow penetration by certain beta-lactams. Also when a resistant strain expresses porin OmpK37 is less susceptible to cefotaxime and cefoxitin than when it is expressing either OmpK36 or OmpK35.	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem
/data/test.data.results/SAMEA3181514.dragonflye.miniasm/contigs.fa.split/SAMEA3181514.dragonflye.miniasmcontig00015.fa	contig00015	15375	17017	+	yojI	1-1640/1644	========/======	27/47	98.42	74.83	card	U00096.3:2308615-2306971	YojI mediates resistance to the peptide antibiotic microcin J25 when it is expressed from a multicopy vector. YojI is capable of pumping out microcin molecules.  The outer membrane protein TolC in addition to YojI is required for export of microcin J25 out of the cell. Microcin J25 is thus the first known substrate for YojI.	peptide
/data/test.data.results/SAMEA3181514.dragonflye.miniasm/contigs.fa.split/SAMEA3181514.dragonflye.miniasmcontig00016.fa	contig00016	41817	42611	+	OXA-48	1-798/798	========/======	8/11	99.12	98.63	card	AY236073:2187-2985	OXA-48 is a beta-lactamase found in Klebsiella pneumoniae	cephalosporin;penam
/data/test.data.results/SAMEA3181514.dragonflye.miniasm/contigs.fa.split/SAMEA3181514.dragonflye.miniasmcontig00017.fa	contig00017	46637	47967	+	mdtK	81-1410/1425	========/======	15/25	92.49	77.22	card	CP014358.1:2162750-2161325	A multidrug and toxic compound extrusions (MATE) transporter conferring resistance to norfloxacin doxorubicin and acriflavine.	fluoroquinolone
/data/test.data.results/SAMEA3181514.dragonflye.miniasm/contigs.fa.split/SAMEA3181514.dragonflye.miniasmcontig00020.fa	contig00020	19648	20835	-	ugd	1-1166/1167	========/======	21/52	98.63	71.74	card	U00096:2099613-2098446	PmrE is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin	peptide
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00001.fa	contig00001	64220	67189	+	acrB	1-3148/3150	========/======	166/326	91.94	71.60	card	U00096.3:484403-481253	Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.	cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00001.fa	contig00001	231967	232869	-	Klebsiella_pneumoniae_OmpK37	71-1044/1125	========/=====.	37/93	79.29	67.41	card	AJ011502.1:300-1425	Klebsiella pneumoniae outer membrane porin protein. Is preferentially detected in porin-deficient strains. Functional characterization of this new porin revealed a narrower pore than those of porins OmpK35 and OmpK36 which did not allow penetration by certain beta-lactams. Also when a resistant strain expresses porin OmpK37 is less susceptible to cefotaxime and cefoxitin than when it is expressing either OmpK36 or OmpK35.	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00001.fa	contig00001	1191535	1192456	+	cpxA	28-964/1374	========/==....	39/73	64.99	71.84	card	BA000007.3:4905062-4903688	CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.	aminocoumarin;aminoglycoside
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00001.fa	contig00001	1597270	1598055	+	pmrF	119-932/969	.=======/======	42/84	78.22	68.53	card	U00096:2367070-2368039	PmrF is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin. pmrF corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.	peptide
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00002.fa	contig00002	89062	89649	-	CRP	38-633/633	========/======	37/84	86.89	69.08	card	AP009048.1:4154296-4153663	CRP is a global regulator that represses MdtEF multidrug efflux pump expression.	fluoroquinolone;macrolide;penam
/data/test.data.results/SAMEA3726392.dragonflye.miniasm/contigs.fa.split/SAMEA3726392.dragonflye.miniasmcontig00002.fa	contig00002	364951	365704	+	bacA	1-768/822	========/======	27/40	90.15	75.67	card	U00096.3:3204131-3203309	The bacA gene product (BacA) recycles undecaprenyl pyrophosphate during cell wall biosynthesis which confers resistance to bacitracin.	peptide
